_id,aula,sede,polo,inDate,date,posto,outDate
5fa8f9381bd2a03f4641a1cd,8,2,4,2020-11-09T08:09:28.847Z,2020-11-09,13,2020-11-09T11:57:42.517Z
5fa8f93f1bd2a03f4641a1ce,8,2,4,2020-11-09T08:09:35.806Z,2020-11-09,14,2020-11-09T11:56:53.233Z
5fa8f94b1bd2a03f4641a1cf,4,2,4,2020-11-09T08:09:47.135Z,2020-11-09,14,2020-11-09T11:46:53.733Z
5fa8f94e1bd2a03f4641a1d0,7,1,7,2020-11-09T08:09:50.740Z,2020-11-09,11,2020-11-09T12:05:00.414Z
5fa8f9501bd2a03f4641a1d1,4,2,4,2020-11-09T08:09:52.720Z,2020-11-09,15,2020-11-09T12:05:00.415Z
5fa8f9541bd2a03f4641a1d2,7,1,7,2020-11-09T08:09:56.611Z,2020-11-09,12,2020-11-09T12:05:00.415Z
5fa8f9591bd2a03f4641a1d3,4,2,4,2020-11-09T08:10:01.208Z,2020-11-09,16,2020-11-09T12:05:00.416Z
5fa8f9591bd2a03f4641a1d4,7,1,7,2020-11-09T08:10:01.972Z,2020-11-09,13,2020-11-09T12:05:00.417Z
5fa8f9681bd2a03f4641a1d5,5,1,3,2020-11-09T08:10:16.555Z,2020-11-09,5,2020-11-09T12:05:00.418Z
5fa8f9831bd2a03f4641a1d6,9,2,4,2020-11-09T08:10:43.858Z,2020-11-09,4,2020-11-09T12:05:00.419Z
5fa8f9891bd2a03f4641a1d8,9,2,4,2020-11-09T08:10:49.623Z,2020-11-09,5,2020-11-09T12:02:57.703Z
5fa8f9901bd2a03f4641a1d9,9,2,4,2020-11-09T08:10:56.084Z,2020-11-09,6,2020-11-09T12:05:00.421Z
5fa8f99d1bd2a03f4641a1da,2,1,2,2020-11-09T08:11:09.408Z,2020-11-09,10,2020-11-09T10:04:03.123Z
5fa8f9cb1bd2a03f4641a1db,9,2,4,2020-11-09T08:11:55.288Z,2020-11-09,7,2020-11-09T09:59:25.042Z
5fa8f9d21bd2a03f4641a1dc,9,2,4,2020-11-09T08:12:02.936Z,2020-11-09,8,2020-11-09T09:59:24.091Z
5fa8f9d71bd2a03f4641a1dd,9,2,4,2020-11-09T08:12:07.196Z,2020-11-09,9,2020-11-09T12:05:00.422Z
5fa8f9d91bd2a03f4641a1de,5,1,3,2020-11-09T08:12:09.177Z,2020-11-09,6,2020-11-09T12:05:00.423Z
5fa8f9dc1bd2a03f4641a1df,9,2,4,2020-11-09T08:12:12.073Z,2020-11-09,10,2020-11-09T12:05:00.423Z
5fa8f9f41bd2a03f4641a1e0,9,2,4,2020-11-09T08:12:36.855Z,2020-11-09,11,2020-11-09T12:05:00.424Z
5fa8fa031bd2a03f4641a1e1,4,2,4,2020-11-09T08:12:51.490Z,2020-11-09,17,2020-11-09T11:56:36.555Z
5fa8faac1bd2a03f4641a1e2,10,1,5,2020-11-09T08:15:40.818Z,2020-11-09,1,2020-11-09T12:05:00.425Z
5fa8fac31bd2a03f4641a1e3,4,2,4,2020-11-09T08:16:03.287Z,2020-11-09,18,2020-11-09T12:05:00.426Z
5fa8faca1bd2a03f4641a1e4,8,2,4,2020-11-09T08:16:10.462Z,2020-11-09,15,2020-11-09T12:01:11.272Z
5fa8fae11bd2a03f4641a1e5,8,2,4,2020-11-09T08:16:33.799Z,2020-11-09,16,2020-11-09T12:05:00.427Z
5fa8fae31bd2a03f4641a1e6,8,2,4,2020-11-09T08:16:35.718Z,2020-11-09,17,2020-11-09T12:05:00.428Z
5fa8fae81bd2a03f4641a1e7,8,2,4,2020-11-09T08:16:40.411Z,2020-11-09,18,2020-11-09T12:02:55.274Z
5fa8faeb1bd2a03f4641a1e8,8,2,4,2020-11-09T08:16:43.614Z,2020-11-09,19,2020-11-09T12:05:00.429Z
5fa8fbee1bd2a03f4641a1f4,10,1,5,2020-11-09T08:21:02.480Z,2020-11-09,2,2020-11-09T10:04:48.063Z
5fa8fc451bd2a03f4641a200,4,2,4,2020-11-09T08:22:29.990Z,2020-11-09,19,2020-11-09T12:05:00.430Z
5fa8fceb1bd2a03f4641a20c,8,2,4,2020-11-09T08:25:15.576Z,2020-11-09,20,2020-11-09T12:05:00.431Z
5fa8ffe11bd2a03f4641a216,9,2,4,2020-11-09T08:37:53.262Z,2020-11-09,12,2020-11-09T12:05:00.431Z
5fa9001f1bd2a03f4641a217,3,1,3,2020-11-09T08:38:55.363Z,2020-11-09,12,2020-11-09T10:18:47.953Z
5fa901b71bd2a03f4641a218,8,2,4,2020-11-09T08:45:43.544Z,2020-11-09,21,2020-11-09T12:05:00.432Z
5fa9118c1bd2a03f4641a225,11,1,6,2020-11-09T09:53:16.787Z,2020-11-09,1,2020-11-09T11:58:08.151Z
5fa9123a1bd2a03f4641a226,11,1,6,2020-11-09T09:56:10.149Z,2020-11-09,2,2020-11-09T11:59:10.924Z
5fa9125a1bd2a03f4641a227,1,1,5,2020-11-09T09:56:42.314Z,2020-11-09,26,2020-11-09T09:56:49.489Z
5fa9126b1bd2a03f4641a228,1,1,5,2020-11-09T09:56:59.928Z,2020-11-09,27,2020-11-09T11:57:39.701Z
5fa9126f1bd2a03f4641a229,1,1,5,2020-11-09T09:57:03.263Z,2020-11-09,28,2020-11-09T12:05:00.433Z
5fa912751bd2a03f4641a22a,1,1,5,2020-11-09T09:57:09.344Z,2020-11-09,29,2020-11-09T12:05:00.434Z
5fa9128a1bd2a03f4641a22b,11,1,6,2020-11-09T09:57:30.141Z,2020-11-09,3,2020-11-09T12:02:02.219Z
5fa912f51bd2a03f4641a22c,1,1,5,2020-11-09T09:59:17.216Z,2020-11-09,30,2020-11-09T11:59:28.019Z
5fa913051bd2a03f4641a22d,9,2,4,2020-11-09T09:59:33.728Z,2020-11-09,13,2020-11-09T12:05:00.435Z
5fa9130a1bd2a03f4641a22e,9,2,4,2020-11-09T09:59:38.487Z,2020-11-09,14,2020-11-09T12:05:00.436Z
5fa913181bd2a03f4641a22f,12,3,8,2020-11-09T09:59:52.780Z,2020-11-09,1,2020-11-09T10:05:35.385Z
5fa9131b1bd2a03f4641a230,11,1,6,2020-11-09T09:59:55.233Z,2020-11-09,4,2020-11-09T12:05:00.437Z
5fa913291bd2a03f4641a231,11,1,6,2020-11-09T10:00:09.990Z,2020-11-09,5,2020-11-09T12:05:00.438Z
5fa9132a1bd2a03f4641a232,1,1,5,2020-11-09T10:00:10.017Z,2020-11-09,31,2020-11-09T12:05:00.440Z
5fa913371bd2a03f4641a233,1,1,5,2020-11-09T10:00:23.052Z,2020-11-09,32,2020-11-09T11:56:13.195Z
5fa913711bd2a03f4641a236,12,3,8,2020-11-09T10:01:21.565Z,2020-11-09,2,2020-11-09T10:05:29.921Z
5fa913781bd2a03f4641a237,12,3,8,2020-11-09T10:01:28.910Z,2020-11-09,3,2020-11-09T10:04:57.517Z
5fa9137b1bd2a03f4641a238,1,1,5,2020-11-09T10:01:31.885Z,2020-11-09,33,2020-11-09T12:05:00.441Z
5fa913821bd2a03f4641a23b,1,1,1,2020-11-09T10:01:38.992Z,2020-11-09,22,2020-11-09T12:05:00.442Z
5fa913851bd2a03f4641a23c,1,1,5,2020-11-09T10:01:41.147Z,2020-11-09,34,2020-11-09T12:05:00.443Z
5fa913851bd2a03f4641a23d,12,3,8,2020-11-09T10:01:41.469Z,2020-11-09,4,2020-11-09T10:05:06.106Z
5fa9138f1bd2a03f4641a23e,1,1,5,2020-11-09T10:01:51.321Z,2020-11-09,35,2020-11-09T12:05:00.444Z
5fa9138f1bd2a03f4641a23f,12,3,8,2020-11-09T10:01:51.737Z,2020-11-09,5,2020-11-09T10:05:29.577Z
5fa913921bd2a03f4641a240,1,1,5,2020-11-09T10:01:54.686Z,2020-11-09,36,2020-11-09T12:05:00.445Z
5fa913931bd2a03f4641a241,3,1,3,2020-11-09T10:01:55.630Z,2020-11-09,13,2020-11-09T12:02:44.026Z
5fa913981bd2a03f4641a242,1,1,5,2020-11-09T10:02:00.593Z,2020-11-09,37,2020-11-09T12:05:00.446Z
5fa9139c1bd2a03f4641a243,1,1,5,2020-11-09T10:02:04.874Z,2020-11-09,38,2020-11-09T12:05:00.447Z
5fa9139d1bd2a03f4641a244,13,4,9,2020-11-09T10:02:05.822Z,2020-11-09,1,2020-11-09T12:05:00.448Z
5fa913a21bd2a03f4641a246,12,3,8,2020-11-09T10:02:10.407Z,2020-11-09,6,2020-11-09T10:05:26.414Z
5fa913a51bd2a03f4641a247,13,4,9,2020-11-09T10:02:13.329Z,2020-11-09,2,2020-11-09T12:05:00.449Z
5fa913a51bd2a03f4641a248,1,1,5,2020-11-09T10:02:13.777Z,2020-11-09,39,2020-11-09T12:05:00.450Z
5fa913ac1bd2a03f4641a249,14,1,5,2020-11-09T10:02:20.364Z,2020-11-09,1,2020-11-09T12:00:56.830Z
5fa913b61bd2a03f4641a24a,1,1,5,2020-11-09T10:02:30.119Z,2020-11-09,40,2020-11-09T11:55:38.471Z
5fa913bb1bd2a03f4641a24b,1,1,5,2020-11-09T10:02:35.494Z,2020-11-09,41,2020-11-09T11:55:22.939Z
5fa913bf1bd2a03f4641a24c,1,1,5,2020-11-09T10:02:39.882Z,2020-11-09,42,2020-11-09T12:05:00.451Z
5fa913cc1bd2a03f4641a24d,1,1,5,2020-11-09T10:02:52.727Z,2020-11-09,43,2020-11-09T12:05:00.452Z
5fa913d01bd2a03f4641a24e,1,1,5,2020-11-09T10:02:56.813Z,2020-11-09,44,2020-11-09T12:05:00.453Z
5fa913e81bd2a03f4641a251,1,1,5,2020-11-09T10:03:20.927Z,2020-11-09,45,2020-11-09T12:05:00.454Z
5fa913f01bd2a03f4641a252,1,1,5,2020-11-09T10:03:28.141Z,2020-11-09,46,2020-11-09T12:05:00.455Z
5fa913fd1bd2a03f4641a253,11,1,6,2020-11-09T10:03:41.355Z,2020-11-09,6,2020-11-09T12:05:00.456Z
5fa9140b1bd2a03f4641a255,1,1,1,2020-11-09T10:03:55.334Z,2020-11-09,23,2020-11-09T12:03:08.583Z
5fa914101bd2a03f4641a256,1,1,1,2020-11-09T10:04:00.210Z,2020-11-09,24,2020-11-09T12:05:00.457Z
5fa914131bd2a03f4641a257,12,3,8,2020-11-09T10:04:03.014Z,2020-11-09,7,2020-11-09T10:05:35.398Z
5fa914161bd2a03f4641a258,1,1,1,2020-11-09T10:04:06.871Z,2020-11-09,25,2020-11-09T12:05:00.457Z
5fa9141b1bd2a03f4641a259,1,1,1,2020-11-09T10:04:11.169Z,2020-11-09,26,2020-11-09T11:44:00.944Z
5fa9141e1bd2a03f4641a25a,1,1,1,2020-11-09T10:04:14.818Z,2020-11-09,27,2020-11-09T12:05:00.458Z
5fa914231bd2a03f4641a25b,1,1,1,2020-11-09T10:04:19.470Z,2020-11-09,28,2020-11-09T11:53:23.790Z
5fa914261bd2a03f4641a25c,1,1,1,2020-11-09T10:04:22.617Z,2020-11-09,29,2020-11-09T12:05:00.459Z
5fa9143a1bd2a03f4641a25d,11,1,6,2020-11-09T10:04:42.711Z,2020-11-09,7,2020-11-09T12:05:00.460Z
5fa9143b1bd2a03f4641a25e,15,1,10,2020-11-09T10:04:43.034Z,2020-11-09,1,2020-11-09T12:05:00.461Z
5fa9143b1bd2a03f4641a25f,15,1,10,2020-11-09T10:04:43.116Z,2020-11-09,2,2020-11-09T12:05:00.462Z
5fa914451bd2a03f4641a260,1,1,1,2020-11-09T10:04:53.666Z,2020-11-09,30,2020-11-09T12:05:00.463Z
5fa9144b1bd2a03f4641a261,1,1,1,2020-11-09T10:04:59.709Z,2020-11-09,31,2020-11-09T12:05:00.464Z
5fa9144f1bd2a03f4641a262,1,1,1,2020-11-09T10:05:03.690Z,2020-11-09,32,2020-11-09T12:05:00.465Z
5fa914511bd2a03f4641a263,16,3,8,2020-11-09T10:05:05.764Z,2020-11-09,1,2020-11-09T10:05:28.358Z
5fa914571bd2a03f4641a264,16,3,8,2020-11-09T10:05:11.946Z,2020-11-09,2,2020-11-09T10:05:35.185Z
5fa914661bd2a03f4641a265,17,1,11,2020-11-09T10:05:26.307Z,2020-11-09,1,2020-11-09T12:02:01.877Z
5fa914691bd2a03f4641a266,15,1,10,2020-11-09T10:05:29.476Z,2020-11-09,3,2020-11-09T12:05:00.466Z
5fa914701bd2a03f4641a267,15,1,10,2020-11-09T10:05:36.154Z,2020-11-09,4,2020-11-09T12:05:00.467Z
5fa914711bd2a03f4641a268,16,3,8,2020-11-09T10:05:37.182Z,2020-11-09,3,2020-11-09T12:05:00.467Z
5fa914801bd2a03f4641a269,16,3,8,2020-11-09T10:05:52.741Z,2020-11-09,4,2020-11-09T12:05:00.468Z
